hgnc_id	symbol	name	aliases	entrez	ensembl	uniprot	chromosome
HGNC:21	AATK	apoptosis-associated tyrosine kinase	AATYK|AATYK1|KIAA0641|LMR1|LMTK1	9625	ENSG00000181409	Q6ZMQ8	17q25.3
HGNC:23	ABAT	4-aminobutyrate aminotransferase	GABAT	18	ENSG00000183044	P80404	16p13.2
HGNC:29	ABCA1	ATP-binding cassette, sub-family A (ABC1), member 1	ABC1|HDLDT1|TGD	19	ENSG00000165029	O95477	9q31
HGNC:30	ABCA10	ATP-binding cassette, sub-family A (ABC1), member 10	EST698739	10349	ENSG00000154263	Q8WWZ4	17q24
HGNC:14637	ABCA12	ATP-binding cassette, sub-family A (ABC1), member 12	DKFZP434G232|ICR2B|LI2	26154	ENSG00000144452	Q86UK0	2q34
HGNC:14638	ABCA13	ATP-binding cassette, sub-family A (ABC1), member 13	FLJ33876|FLJ33951	154664	ENSG00000179869	Q86UQ4	7p12.3
HGNC:32	ABCA2	ATP-binding cassette, sub-family A (ABC1), member 2	ABC2	20	ENSG00000107331	Q9BZC7	9q34
HGNC:33	ABCA3	ATP-binding cassette, sub-family A (ABC1), member 3	ABC-C|ABC3|EST111653|LBM180	21	ENSG00000167972	Q99758	16p13.3
HGNC:34	ABCA4	ATP-binding cassette, sub-family A (ABC1), member 4	ABCR|ARMD2|CORD3|FFM|RP19|STGD|STGD1	24	ENSG00000198691	P78363	1p22
HGNC:35	ABCA5	ATP-binding cassette, sub-family A (ABC1), member 5	EST90625	23461	ENSG00000154265	Q8WWZ7	17q24.3
HGNC:36	ABCA6	ATP-binding cassette, sub-family A (ABC1), member 6	EST155051	23460	ENSG00000154262	Q8N139	17q21
HGNC:37	ABCA7	ATP-binding cassette, sub-family A (ABC1), member 7	ABCX	10347	ENSG00000064687	Q8IZY2	19p13.3
HGNC:38	ABCA8	ATP-binding cassette, sub-family A (ABC1), member 8	KIAA0822	10351	ENSG00000141338	O94911	17q24
HGNC:39	ABCA9	ATP-binding cassette, sub-family A (ABC1), member 9	EST640918	10350	ENSG00000154258	Q8IUA7	17q24
HGNC:40	ABCB1	ATP-binding cassette, sub-family B (MDR/TAP), member 1	ABC20|CD243|CLCS|GP170|MDR1|P-gp|PGY1	5243	ENSG00000085563	P08183	7q21.12
HGNC:41	ABCB10	ATP-binding cassette, sub-family B (MDR/TAP), member 10	EST20237|M-ABC2|MTABC2	23456	ENSG00000135776	Q9NRK6	1q32
HGNC:42	ABCB11	ATP-binding cassette, sub-family B (MDR/TAP), member 11	ABC16|BSEP|PFIC-2|PFIC2|PGY4|SPGP	8647	ENSG00000073734	O95342	2q24
HGNC:45	ABCB4	ATP-binding cassette, sub-family B (MDR/TAP), member 4	GBD1|MDR2|MDR3|PFIC-3|PGY3	5244	ENSG00000005471	P21439	7q21
HGNC:46	ABCB5	ATP-binding cassette, sub-family B (MDR/TAP), member 5	ABCB5alpha|ABCB5beta|EST422562	340273	ENSG00000004846	Q2M3G0	7p14
HGNC:47	ABCB6	ATP-binding cassette, sub-family B (MDR/TAP), member 6	EST45597|MTABC3|umat	10058	ENSG00000115657	Q9NP58	2q36
HGNC:48	ABCB7	ATP-binding cassette, sub-family B (MDR/TAP), member 7	ABC7|ASAT|Atm1p|EST140535	22	ENSG00000131269	O75027	Xq13.3
HGNC:49	ABCB8	ATP-binding cassette, sub-family B (MDR/TAP), member 8	EST328128|M-ABC1|MABC1	11194	ENSG00000197150	Q9NUT2	7q36.1
HGNC:50	ABCB9	ATP-binding cassette, sub-family B (MDR/TAP), member 9	EST122234	23457	ENSG00000150967	Q9NP78	12q24
HGNC:51	ABCC1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1	GS-X|MRP|MRP1	4363	ENSG00000103222	P33527	16p13.1
HGNC:52	ABCC10	ATP-binding cassette, sub-family C (CFTR/MRP), member 10	EST182763|MRP7|SIMRP7	89845	ENSG00000124574	Q5T3U5	6p12.3
HGNC:14639	ABCC11	ATP-binding cassette, sub-family C (CFTR/MRP), member 11	MRP8	85320	ENSG00000121270	Q96J66	16q12
HGNC:14640	ABCC12	ATP-binding cassette, sub-family C (CFTR/MRP), member 12	MRP9	94160	ENSG00000140798	Q96J65	16q12.1
HGNC:53	ABCC2	ATP-binding cassette, sub-family C (CFTR/MRP), member 2	CMOAT|DJS|MRP2|cMRP	1244	ENSG00000023839	Q92887	10q24
HGNC:54	ABCC3	ATP-binding cassette, sub-family C (CFTR/MRP), member 3	EST90757|MLP2|MOAT-D|MRP3|cMOAT2	8714	ENSG00000108846	O15438	17q21
HGNC:55	ABCC4	ATP-binding cassette, sub-family C (CFTR/MRP), member 4	EST170205|MOAT-B|MOATB|MRP4	10257	ENSG00000125257	O15439	13q31
HGNC:56	ABCC5	ATP-binding cassette, sub-family C (CFTR/MRP), member 5	EST277145|MOAT-C|MRP5|SMRP	10057	ENSG00000114770	O15440	3q27
HGNC:57	ABCC6	ATP-binding cassette, sub-family C (CFTR/MRP), member 6	ARA|EST349056|MLP1|MRP6|PXE|URG7	368	ENSG00000091262	O95255	16p13.11
HGNC:59	ABCC8	ATP-binding cassette, sub-family C (CFTR/MRP), member 8	ABC36|HHF1|HI|HRINS|MRP8|PHHI|SUR|SUR1|TNDM2	6833	ENSG00000006071	Q09428	11p15.1
HGNC:60	ABCC9	ATP-binding cassette, sub-family C (CFTR/MRP), member 9	CMD1O|SUR2	10060	ENSG00000069431	O60706	12p12.1
HGNC:61	ABCD1	ATP-binding cassette, sub-family D (ALD), member 1	ALD|ALDP|AMN|adrenoleukodystrophy	215	ENSG00000101986	P33897	Xq28
HGNC:66	ABCD2	ATP-binding cassette, sub-family D (ALD), member 2	ALDL1|ALDR|ALDRP	225	ENSG00000173208	Q9UBJ2	12q12
HGNC:67	ABCD3	ATP-binding cassette, sub-family D (ALD), member 3	PMP70|PXMP1|ZWS2	5825	ENSG00000117528	P28288	1p21.3
HGNC:68	ABCD4	ATP-binding cassette, sub-family D (ALD), member 4	EST352188|P70R|PMP69|PXMP1L	5826	ENSG00000119688	O14678	14q24
HGNC:69	ABCE1	ATP-binding cassette, sub-family E (OABP), member 1	OABP|RLI|RNASEL1|RNASELI|RNS4I	6059	ENSG00000164163	P61221	4q31
HGNC:70	ABCF1	ATP-binding cassette, sub-family F (GCN20), member 1	ABC50|EST123147	23	ENSG00000204574	Q8NE71	6p21.33
HGNC:71	ABCF2	ATP-binding cassette, sub-family F (GCN20), member 2	ABC28|EST133090|HUSSY-18|M-ABC1	10061	ENSG00000033050	Q9UG63	7q36.1
HGNC:72	ABCF3	ATP-binding cassette, sub-family F (GCN20), member 3	EST201864	55324	ENSG00000161204	Q9NUQ8	3q27.1
HGNC:73	ABCG1	ATP-binding cassette, sub-family G (WHITE), member 1	ABC8	9619	ENSG00000160179	P45844	21q22.3
HGNC:74	ABCG2	ATP-binding cassette, sub-family G (WHITE), member 2	ABCP|BCRP|CD338|EST157481|MXR	9429	ENSG00000118777	Q9UNQ0	4q22.1
HGNC:13884	ABCG4	ATP-binding cassette, sub-family G (WHITE), member 4	WHITE2	64137	ENSG00000172350	Q9H172	11q23
HGNC:13886	ABCG5	ATP-binding cassette, sub-family G (WHITE), member 5	STSL	64240	ENSG00000138075	Q9H222	2p21
HGNC:13887	ABCG8	ATP-binding cassette, sub-family G (WHITE), member 8	GBD4	64241	ENSG00000143921	Q9H221	2p21
HGNC:17553	ABHD1	abhydrolase domain containing 1	FLJ36128|LABH1	84696	ENSG00000143994	Q96SE0	2p23.3
HGNC:25656	ABHD10	abhydrolase domain containing 10	FLJ11342	55347	ENSG00000144827	Q9NUJ1	3q13.2
HGNC:16407	ABHD11	abhydrolase domain containing 11	PP1226|WBSCR21	83451	ENSG00000106077	Q8NFV4	7q11.23
HGNC:15868	ABHD12	abhydrolase domain containing 12	ABHD12A|BEM46L2|C20orf22|DKFZP434P106|dJ965G21.2	26090	ENSG00000100997	Q8N2K0	20p11.21
HGNC:19837	ABHD12B	abhydrolase domain containing 12B	BEM46L3|C14orf29	145447	ENSG00000131969	Q7Z5M8	14q21.3
HGNC:20293	ABHD13	abhydrolase domain containing 13	BEM46L1|C13orf6|FLJ14906|bA153I24.2	84945	ENSG00000139826	Q7L211	13q33.2
HGNC:24538	ABHD14A	abhydrolase domain containing 14A	DKFZP564O243|DORZ1	25864	ENSG00000248487	Q9BUJ0	3p21.1
HGNC:28235	ABHD14B	abhydrolase domain containing 14B	CIB|MGC15429	84836	ENSG00000114779	Q96IU4	3p21.2
HGNC:26971	ABHD15	abhydrolase domain containing 15		116236	ENSG00000168792	Q6UXT9	17q11.2
HGNC:13921	ABHD16A	abhydrolase domain containing 16A	BAT5|D6S82E|NG26	7920	ENSG00000204427	O95870	6p21.3
HGNC:16128	ABHD16B	abhydrolase domain containing 16B	C20orf135|dJ591C20.1	140701	ENSG00000183260	Q9H3Z7	20q13.33
HGNC:28756	ABHD17A	abhydrolase domain containing 17A	C19orf27|FAM108A1|MGC5244	81926	ENSG00000129968	Q96GS6	19p13.3
HGNC:24278	ABHD17B	abhydrolase domain containing 17B	C9orf77|CGI-67|FAM108B1	51104	ENSG00000107362	Q5VST6	9q21.2
HGNC:26925	ABHD17C	abhydrolase domain containing 17C	FAM108C1	58489	ENSG00000136379	Q6PCB6	15q25.1
HGNC:18717	ABHD2	abhydrolase domain containing 2	LABH2	11057	ENSG00000140526	P08910	15q26.1
HGNC:18718	ABHD3	abhydrolase domain containing 3	LABH3	171586	ENSG00000158201	Q8WU67	18q11.1
HGNC:20154	ABHD4	abhydrolase domain containing 4	FLJ12816	63874	ENSG00000100439	Q8TB40	14q11.1
HGNC:21396	ABHD5	abhydrolase domain containing 5	CGI-58|NCIE2	51099	ENSG00000011198	Q8WTS1	3p21.33
HGNC:21398	ABHD6	abhydrolase domain containing 6		57406	ENSG00000163686	Q9BV23	3p21.2
HGNC:23759	ABHD8	abhydrolase domain containing 8	FLJ11743|MGC14280|MGC2512	79575	ENSG00000127220	Q96I13	19p13.12
HGNC:11320	ABI1	abl-interactor 1	ABI-1|E3B1|SSH3BP1	10006	ENSG00000136754	Q8IZP0	10p12.1
HGNC:24011	ABI2	abl-interactor 2	ABI-2|ABI2B|AIP-1|AblBP3|SSH3BP2|argBPIA	10152	ENSG00000138443	Q9NYB9	2q33
HGNC:29859	ABI3	ABI family, member 3	NESH|SSH3BP3	51225	ENSG00000108798	Q9P2A4	17q21.3
HGNC:17265	ABI3BP	ABI family, member 3 (NESH) binding protein	DKFZP586L2024|NESHBP|TARSH	25890	ENSG00000154175	Q7Z7G0	3q12.2
HGNC:76	ABL1	c-abl oncogene 1, non-receptor tyrosine kinase	ABL|JTK7|c-ABL|p150	25	ENSG00000097007	P00519	9q34.1
HGNC:77	ABL2	c-abl oncogene 2, non-receptor tyrosine kinase	ABLL|ARG	27	ENSG00000143322	P42684	1q25.2
HGNC:78	ABLIM1	actin binding LIM protein 1	ABLIM|LIMAB1|abLIM|limatin	3983	ENSG00000099204	O14639	10q25
HGNC:19195	ABLIM2	actin binding LIM protein family, member 2	KIAA1808	84448	ENSG00000163995	Q6H8Q1	4p16.1
HGNC:29132	ABLIM3	actin binding LIM protein family, member 3	KIAA0843	22885	ENSG00000173210	O94929	5q33.1
HGNC:79	ABO	ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)	A3GALNT|A3GALT1	28	ENSG00000175164	P16442	9q34.2
HGNC:81	ABR	active BCR-related	MDB	29	ENSG00000159842	Q12979	17p13
HGNC:30655	ABRA	actin-binding Rho activating protein	STARS	137735	ENSG00000174429	Q8N0Z2	8q23.1
HGNC:21230	ABRACL	ABRA C-terminal like	C6orf115|Costars|HSPC280|PRO2013	58527	ENSG00000146386	Q9P1F3	6q24.1
HGNC:17369	ABT1	activator of basal transcription 1		29777	ENSG00000146109	Q9ULW3	6p21.31
HGNC:18275	ABTB1	ankyrin repeat and BTB (POZ) domain containing 1	BPOZ|BTBD21|Btb3|EF1ABP	80325	ENSG00000114626	Q969K4	3q21
HGNC:23842	ABTB2	ankyrin repeat and BTB (POZ) domain containing 2	ABTB2A|BTBD22|DKFZP586C1619	25841	ENSG00000166016	Q8N961	11p13
HGNC:82	ACAA1	acetyl-CoA acyltransferase 1		30	ENSG00000060971	P09110	3p22.2
HGNC:83	ACAA2	acetyl-CoA acyltransferase 2	DSAEC	10449	ENSG00000167315	P42765	18q21
HGNC:84	ACACA	acetyl-CoA carboxylase alpha	ACAC|ACC|ACC1	31	ENSG00000132142	Q13085	17q21
HGNC:85	ACACB	acetyl-CoA carboxylase beta	ACC2|ACCB|HACC275	32	ENSG00000076555	O00763	12q24.1
HGNC:21597	ACAD10	acyl-CoA dehydrogenase family, member 10	MGC5601	80724	ENSG00000111271	Q6JQN1	12q24.12
HGNC:30211	ACAD11	acyl-CoA dehydrogenase family, member 11	FLJ12592	84129	ENSG00000240303	Q709F0	3q22.1
HGNC:87	ACAD8	acyl-CoA dehydrogenase family, member 8		27034	ENSG00000151498	Q9UKU7	11q25
HGNC:21497	ACAD9	acyl-CoA dehydrogenase family, member 9	MGC14452|NPD002	28976	ENSG00000177646	Q9H845	3q21.3
HGNC:88	ACADL	acyl-CoA dehydrogenase, long chain	ACAD4|LCAD	33	ENSG00000115361	P28330	2q34
HGNC:89	ACADM	acyl-CoA dehydrogenase, C-4 to C-12 straight chain	ACAD1|MCAD|MCADH	34	ENSG00000117054	P11310	1p31
HGNC:90	ACADS	acyl-CoA dehydrogenase, C-2 to C-3 short chain	ACAD3|SCAD	35	ENSG00000122971	P16219	12q24.31
HGNC:91	ACADSB	acyl-CoA dehydrogenase, short/branched chain	ACAD7|SBCAD	36	ENSG00000196177	P45954	10q25-q26
HGNC:92	ACADVL	acyl-CoA dehydrogenase, very long chain	ACAD6|LCACD|VLCAD	37	ENSG00000072778	P49748	17p13.1
HGNC:319	ACAN	aggrecan	AGC1|CSPG1|CSPGCP|MSK16	176	ENSG00000157766	P16112	15q26.1
HGNC:16467	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	CENTB1|KIAA0050	9744	ENSG00000072818	Q15027	17p13.1
HGNC:16469	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	CENTB2|CNT-B2|KIAA0041	23527	ENSG00000114331	Q15057	3q29
HGNC:16754	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	CENTB5|KIAA1716	116983	ENSG00000131584	Q96P50	1p36
HGNC:93	ACAT1	acetyl-CoA acetyltransferase 1	ACAT|THIL	38	ENSG00000075239	P24752	11q22.3
HGNC:94	ACAT2	acetyl-CoA acetyltransferase 2		39	ENSG00000120437	Q9BWD1	6q25.3-q26
HGNC:15453	ACBD3	acyl-CoA binding domain containing 3	GCP60|GOCAP1|GOLPH1|PAP7	64746	ENSG00000182827	Q9H3P7	1q41
HGNC:23337	ACBD4	acyl-CoA binding domain containing 4	FLJ13322	79777	ENSG00000181513	Q8NC06	17q21.31
HGNC:23338	ACBD5	acyl-CoA binding domain containing 5	DKFZp434A2417|KIAA1996	91452	ENSG00000107897	Q5T8D3	10p12.1
HGNC:23339	ACBD6	acyl-CoA binding domain containing 6	MGC2404	84320	ENSG00000135847	Q9BR61	1q25.1
HGNC:17715	ACBD7	acyl-CoA binding domain containing 7	FLJ38219|bA455B2.2	414149	ENSG00000176244	Q8N6N7	10p13
HGNC:23989	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)	ACS|PHACS	84680	ENSG00000110455	Q96QU6	11p11
HGNC:34391	ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (Arabidopsis)(non-functional)-like		390110	ENSG00000205126	Q4AC99	11p11.2
HGNC:25070	ACD	adrenocortical dysplasia homolog (mouse)	Pip1|Ptop|Tint1|Tpp1	65057	ENSG00000102977	Q96AP0	16q22
HGNC:2707	ACE	angiotensin I converting enzyme	ACE1|CD143|DCP1	1636	ENSG00000159640	P12821	17q23.3
HGNC:13557	ACE2	angiotensin I converting enzyme 2		59272	ENSG00000130234	Q9BYF1	Xp22
HGNC:18356	ACER1	alkaline ceramidase 1	ASAH3	125981	ENSG00000167769	Q8TDN7	19p13.3
HGNC:23675	ACER2	alkaline ceramidase 2	ASAH3L|FLJ41587	340485	ENSG00000177076	Q5QJU3	9p21.3
HGNC:16066	ACER3	alkaline ceramidase 3	APHC|FLJ11238|PHCA	55331	ENSG00000078124	Q9NUN7	11q13.5
HGNC:108	ACHE	acetylcholinesterase (Yt blood group)	YT	43	ENSG00000087085	P22303	7q22
HGNC:17066	ACIN1	apoptotic chromatin condensation inducer 1	ACINUS|KIAA0670|fSAP152	22985	ENSG00000100813	Q9UKV3	14q11.2
HGNC:1565	ACKR2	atypical chemokine receptor 2	CCBP2|CCR10|CCR9|CMKBR9|D6	1238	ENSG00000144648	O00590	3p21.3
HGNC:23692	ACKR3	atypical chemokine receptor 3	CMKOR1|CXCR7|GPR159|RDC1	57007	ENSG00000144476	P25106	2q37.3
HGNC:1611	ACKR4	atypical chemokine receptor 4	CCBP2|CCR11|CCRL1|CCX-CKR|PPR1|VSHK1	51554	ENSG00000129048	Q9NPB9	3q22
HGNC:115	ACLY	ATP citrate lyase	ACL|ATPCL|CLATP	47	ENSG00000131473	P53396	17q21.2
HGNC:19288	ACMSD	aminocarboxymuconate semialdehyde decarboxylase		130013	ENSG00000153086	Q8TDX5	2q21.3
HGNC:21752	ACN9	ACN9 homolog (S. cerevisiae)	DC11	57001	ENSG00000196636	Q9NRP4	7q22.1
HGNC:117	ACO1	aconitase 1, soluble	IREB1|IREBP|IRP1	48	ENSG00000122729	P21399	9p21.1
HGNC:118	ACO2	aconitase 2, mitochondrial	ACONM	50	ENSG00000100412	Q99798	22q13.2
HGNC:33128	ACOT1	acyl-CoA thioesterase 1	ACH2|CTE-1|LACH2	641371	ENSG00000184227	Q86TX2	14q24.3
HGNC:18156	ACOT11	acyl-CoA thioesterase 11	BFIT|BFIT1|KIAA0707|STARD14|THEA|THEM1	26027	ENSG00000162390	Q8WXI4	1p32.3
HGNC:24436	ACOT12	acyl-CoA thioesterase 12	Cach|STARD15|THEAL	134526	ENSG00000172497	Q8WYK0	5q14.1
HGNC:20999	ACOT13	acyl-CoA thioesterase 13	HT012|THEM2	55856	ENSG00000112304	Q9NPJ3	6p22.1
HGNC:18431	ACOT2	acyl-CoA thioesterase 2	Mte1|ZAP128	10965	ENSG00000119673	P49753	14q24.3
HGNC:19748	ACOT4	acyl-CoA thioesterase 4	FLJ31235|PTE-Ib|PTE2B	122970	ENSG00000177465	Q8N9L9	14q24.1
HGNC:33159	ACOT6	acyl-CoA thioesterase 6	C14orf42	641372	ENSG00000205669	Q3I5F7	14q24.3
HGNC:24157	ACOT7	acyl-CoA thioesterase 7	ACH1|ACT|BACH|CTE-II|LACH1|MGC1126|hBACH	11332	ENSG00000097021	O00154	1p36
HGNC:15919	ACOT8	acyl-CoA thioesterase 8	PTE-2|PTE1|hACTE-III|hTE	10005	ENSG00000101473	O14734	20q13.12
HGNC:17152	ACOT9	acyl-CoA thioesterase 9	ACATE2|CGI-16|MT-ACT48	23597	ENSG00000123130	Q9Y305	Xp22.11
HGNC:119	ACOX1	acyl-CoA oxidase 1, palmitoyl	PALMCOX	51	ENSG00000161533	Q15067	17q25.1
HGNC:120	ACOX2	acyl-CoA oxidase 2, branched chain	BRCACOX|BRCOX|THCCox	8309	ENSG00000168306	Q99424	3p14.3
HGNC:121	ACOX3	acyl-CoA oxidase 3, pristanoyl		8310	ENSG00000087008	O15254	4p15.3
HGNC:25621	ACOXL	acyl-CoA oxidase-like	FLJ11042	55289	ENSG00000153093	Q9NUZ1	2q13
HGNC:122	ACP1	acid phosphatase 1, soluble		52	ENSG00000143727	P24666	2p25
HGNC:123	ACP2	acid phosphatase 2, lysosomal		53	ENSG00000134575	P11117	11p11.2
HGNC:124	ACP5	acid phosphatase 5, tartrate resistant	TRAP	54	ENSG00000102575	P13686	19p13.2
HGNC:29609	ACP6	acid phosphatase 6, lysophosphatidic	ACPL1|LPAP	51205	ENSG00000162836	Q9NPH0	1q21
HGNC:26303	ACPL2	acid phosphatase-like 2	FLJ23751	92370	ENSG00000155893	Q8TE99	3q23
HGNC:125	ACPP	acid phosphatase, prostate	ACP-3|ACP3	55	ENSG00000014257	P15309	3q22.1
HGNC:14376	ACPT	acid phosphatase, testicular		93650	ENSG00000142513	Q9BZG2	19q13.33
HGNC:126	ACR	acrosin		49	ENSG00000100312	P10323	22q13.33
HGNC:17195	ACRBP	acrosin binding protein	CT23|OY-TES-1|SP32	84519	ENSG00000111644	Q8NEB7	12p13.31
HGNC:15805	ACRC	acidic repeat containing		93953	ENSG00000147174	Q96QF7	Xq13.1
HGNC:127	ACRV1	acrosomal vesicle protein 1	D11S4365|SP-10|SPACA2	56	ENSG00000134940	P26436	11q24.2
HGNC:29567	ACSBG1	acyl-CoA synthetase bubblegum family member 1	BG1|BGM|FLJ30320|KIAA0631|MGC14352|hBG1|hsBG	23205	ENSG00000103740	Q96GR2	15q23-q24
HGNC:24174	ACSBG2	acyl-CoA synthetase bubblegum family member 2	BGR|DKFZp434K1635|PRTD-NY3	81616	ENSG00000130377	Q5FVE4	19p13.3
HGNC:26101	ACSF2	acyl-CoA synthetase family member 2	ACSMW|FLJ20920	80221	ENSG00000167107	Q96CM8	17q21.33
HGNC:27288	ACSF3	acyl-CoA synthetase family member 3		197322	ENSG00000176715	Q4G176	16q24.3
HGNC:3569	ACSL1	acyl-CoA synthetase long-chain family member 1	ACS1|FACL1|FACL2|LACS|LACS1|LACS2	2180	ENSG00000151726	P33121	4q35
HGNC:3570	ACSL3	acyl-CoA synthetase long-chain family member 3	ACS3|FACL3|PRO2194	2181	ENSG00000123983	O95573	2q34-q35
HGNC:3571	ACSL4	acyl-CoA synthetase long-chain family member 4	ACS4|FACL4|LACS4|MRX63|MRX68	2182	ENSG00000068366	O60488	Xq22.3-q23
HGNC:16526	ACSL5	acyl-CoA synthetase long-chain family member 5	ACS2|ACS5|FACL5	51703	ENSG00000197142	Q9ULC5	10q25.1-q25.2
HGNC:16496	ACSL6	acyl-CoA synthetase long-chain family member 6	ACS2|FACL6|KIAA0837|LACS2|LACS5	23305	ENSG00000164398	Q9UKU0	5q31
HGNC:18049	ACSM1	acyl-CoA synthetase medium-chain family member 1	BUCS1|MACS1	116285	ENSG00000166743	Q08AH1	16p12.3
HGNC:32017	ACSM2A	acyl-CoA synthetase medium-chain family member 2A	A-923A4.1|ACSM2|MGC150530	123876	ENSG00000183747	Q08AH3	16p12.3
HGNC:30931	ACSM2B	acyl-CoA synthetase medium-chain family member 2B	ACSM2|HXMA|HYST1046	348158	ENSG00000066813	Q68CK6	16p12.3
HGNC:10522	ACSM3	acyl-CoA synthetase medium-chain family member 3	SA|SAH	6296	ENSG00000005187	Q53FZ2	16p13.11
HGNC:32016	ACSM4	acyl-CoA synthetase medium-chain family member 4		341392	ENSG00000215009	P0C7M7	12p13.31
HGNC:26060	ACSM5	acyl-CoA synthetase medium-chain family member 5	FLJ20581	54988	ENSG00000183549	Q6NUN0	16p12.3
HGNC:16091	ACSS1	acyl-CoA synthetase short-chain family member 1	ACAS2L|AceCS2L|MGC33843|dJ568C11.3	84532	ENSG00000154930	Q9NUB1	20p11.23-p11.21
HGNC:15814	ACSS2	acyl-CoA synthetase short-chain family member 2	ACAS2|ACS|ACSA|AceCS|dJ1161H23.1	55902	ENSG00000131069	Q9NR19	20q11.22
HGNC:24723	ACSS3	acyl-CoA synthetase short-chain family member 3	FLJ21963	79611	ENSG00000111058	Q9H6R3	12q21.31
HGNC:129	ACTA1	actin, alpha 1, skeletal muscle	ACTA|NEM3	58	ENSG00000143632	P68133	1q42.13
